objectid,filename,youtubeid,vimeoid,title,creator,date,description,contents,dimensions,subject,location,latitude,longitude,source,identifier,access,type,format,itemhistory,language,rights,rightsstatement
coll000001,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000001_ShakespeareOnFilm_1979.jpg?raw=true,,,"Shakespeare on film, 1979.",U.P. Film Center; The British Council,1979-07-16,"A brochure booklet of ""Shakespeare on Film,"" a film programmer presented by the British Council and the U.P. Film Center, with lectures by British Film Critic Alexander Walker of the London Evening Standard, held in Wilfrido MA. Guerrero Theater, 2nd Floor, Arts and Sciences Building, UP Diliman, Quezon City, from July 16-20 & 23, 1979.","Programme; Message - William Bentley, Ambassador, United Kingdom; Message - Ian R. Johnson, Representative, The British Council; Homage to the Players of Hamlet by Virginia R. Moreno.; Shakespeare on Film [excerpt] by Charles W. Eckert; Guest Film Critic; The Films - Hamlet, Richard III, Othello, Henry V, A Midsummer Night's Dream, Romeo and Juliet; The Directors; Birth of A Cinema Libre; 1978-1979 Almanac: A Season of Harvest Film Center of the University of the Philippines; Acknowledgements",1 file envelope: 10 copies; 24 pages per copy; 6 in. x 6 in.; brochure booklet,Literature in Film,"Shelf 1, Row 0, Box 1 ",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000001,Item is open for research. For Room Use only. ,Image; Brochure Booklet,image/jpeg,2024-01-18 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
coll000002,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000002_SpecialFilmShowingofCelsoAdCastillo_1980.jpg?raw=true,,,"Special film screening of Celso Ad Castillo's ""Ang alamat ni Julian Makabayan"" (The legend of peasant Julian Makabayan), 1980.",U.P. Film Center,1980-02-06,"A brochure poster of a special film showing of Celso Ad. Castillo's Ang Alamat Ni Julian Makabayan (The Legend of the Peasant Julian Makabayan) held 4 p.m., Wednesday, February 6, 1980, San Miguel Auditorium, Ayala Avenue, Makati, Metro Manila. Sponsored by the President's Council on the Arts and the Film Center of the University of the Philippines.","Front (expanded): Event details; Back (expanded): Event Poster; Front (folded): cover; Back (folded): The Artist Behind the Film Julian Makabayan, The Cast; Inner fold: The U.P. President's Council on the Arts [profile], Film Center of the University of the Philippines [profile], A feast of festivals celebrated by the Film Center [list of events], U.P. Film Center Staff, Acknowledgement; Outer fold 1: four shots from the film, Synopses of the film [English and French translation]; Outer fold 2: Synopses of the film [Spanish and German translation] ",1 file envelope: 10 copies; folded: 12 in. x 9 in.; expanded: 24.25 in. x 36 in.; brochure poster,Philippine Cinema,"Shelf 1, Row 0, Box 1 ",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000002,Item is open for research. For Room Use only. ,Image; Brochure Poster,image/jpeg,2024-01-18 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
coll000003,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000003_JointheUPFIFilmCenterFoundation_1975.jpg?raw=true,,,Join the U.P. film center foundation! See our Yugoslav film festival! Sign up for the 1978 cinema workshop!,U.P. Film Center,1978-11-22,"A brochure poster of the First Yugoslavian Film Festival and the 1978 Cinema Workshop, an event in partnership with the U.P. Film Center and the Metropolitan Manila Commission, in cooperation with the Embassy of Yugoslavia, held Wednesday, November 22, 1978, 8:00 p.m., Rizal Theater. The Festival Screenings ran from November 23-28 at the Metropolitan Museum, Central Bank Complex, Roxas Blvd. The Cinema Workshop was held last November 29, 1978 at the Metropolitan Museum.","Front (expanded): Event details; Back (expanded): Event Poster; Front (folded): event cover; Back (folded): U.P. Film Center Foundation Membership Pledge [form]; Inner fold: Message - Imelda Romualdez Marcos, Governor, Metropolitan Manila Commission; Message - Jokas Brajovic, Ambassador, Embassy of the Socialist Federal Republic of Yugoslavia, Film Center Foundation Portfolio of Film Ideas and Projects; Inner fold 2: Mechanics of Participation, From the Charter of the U.P. Film Center Foundation, site of the U.P. Film Ceter ""cinema libre,"" Almanac 1978 Season Film Center; Inner Fold 3: The Yugoslavian Cinema [narrative and film synopses]",1 file envelope: 10 copies; folded: 9 in. x 6 in.; expanded: 23.75 in. x 36 in.; brochure poster,Yugoslavian Cinema,"Shelf 1, Row 0, Box 1 ",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000003,Item is open for research. For Room Use only. ,Image; Brochure Poster,image/jpeg,2024-01-18 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
coll000004,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000004_AFourthSummerCelebrationinFilmCinemalibre_30April_04May_1979.jpg?raw=true,,,"A fourth summer celebration in films: Cinemalibre, 30 April - 04 May, 1979.",U.P. Film Center,1979-04-30,"A folded brochure (double parallel fold) of the U.P. Film Center, a fourth summer celebration in films: Cinemalibre on 30 April to 4 May, 1979 held in Wilfredo Ma. Guerrero Theater, College of Arts and Sciences, University of the Philippines, Diliman, Quezon City  ",Cover; No Path of Roses [poem]; Programmer; Birth of a Cinema Libre [profile]; 1978-1979 Almanac: A Season of Harvest Film Center of the University of the Philippines [list of events]; Our Films,1 file envelope: 10 copies; folded: 9 in. x 9 in.; expanded: 36 in. x9 in.; folded brochure ,Alternative Cinema,"Shelf 1, Row 0, Box 1 ",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000004,Item is open for research. For Room Use only. ,Image; Folded Brochure ,image/jpeg,2024-01-18 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
coll000005,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000005_AustraliaFilmFestival_Nov5_13_1998.jpg?raw=true,,,"All the best from Australia Film Festival, 5-13 November, 1998.",U.P. Film Center,1998-11-05,"A brochure booklet of ""All the Best from Australia: A Festival of Culture, Sports, Technology and Business"" held in UP Film Center from 5-13 November, 1998. The film festival is Australian contribution to the celebration of the Centennial of Philippine Indendence.","Programme Rationnale; Message - Emil Q. Javier, UP President; Message - Miles Kupa, Ambassador, Australia; Australian Cinema - An Overview of Film from Down Under [essay]; Schedule of Activities; Films in Exhibition; Participating Filmmakers; the UP Film Center [organizational profile]; Acknowledgements",1 file envelope: 10 copies; 36 pages per copy; 6.75 in. x 11.687 in.; brochure booklet,Australian Cinema,"Shelf 1, Row 0, Box 1 ",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000005,Item is open for research. For Room Use only. ,Image; Brochure Booklet,image/jpeg,2024-01-18 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
coll000006,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000006_APassagetoIndia_19_23_January_1998.jpg?raw=true,,,A passage to India: A festival of films from India 19-23 January 1998. ,U.P. Film Center,1998-01-19,"A brochure poster of A Passage to India: A Festival of Film from India, in celebration of the 50th Year of India Independence, featuring a host of acclaimed full-length feature and documentary films from one of the world's largest and most thriving motion picture industries, held at the UP Film Center Cinema-Theater, Ramon Magsaysay Avenue, UP Diliman, Quezon City, on 19-23 January 1998. ",Cover; A Passage to India (A Festival of Indian Films) [rationale]; Opening Programme of Activities; The Films [synopses]; Event Poster,1 file envelope: 10 copies; folded: 9 in. x 6 in.; expanded: 17.875 in. x 24 in.; brochure poster,Indian Cinema,"Shelf 1, Row 0, Box 2",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000006,Item is open for research. For Room Use only. ,Image; Brochure Poster,image/jpeg,2024-01-19 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
coll000007,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000007_TheFifthInternationalWomensFilmFestival_28Feb_10March1994.jpg?raw=true,,,"The fifth international women's film festial, 28 February - 10 March, 1994.",U.P. Film Center,1994-02-28,"A brochure booklet of The Fifth International Women's Film Festival, a partnership event of UP Film Center and Concerned Artists of the Philippines-Women's Desk, held at the U.P. Film Center Cinema-Theater, Magsaysay Avenue, Diliman, Quezon City, on 28 February - 10 March, 1994.","Introduction; Message - Virginia Moreno, Chairperson, Culture Committee, UNESCO National Commission, Former Director, U.P. Film Center; Mensahe - Bienvenido L. Lumbera, Director, U.P. Film Center, 1989-1992; Programme of Activities; Symposium - Open Forum, Woman Power in Philippine Cinema; Films; Fifth International Women's Film Festival Retrospective Cinemabilia Exhibition; The Festival: Behind the Scenes; Acknowledgement; Advertisement of San Miguel Corporation [sponsor of brochure printing]",1 file envelope: 10 copies; 26 pages per copy; 5.5 in. x 8.375 in.; brochure booklet,Women in Cinema,"Shelf 1, Row 0, Box 2",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000007,Item is open for research. For Room Use only. ,Image; Brochure Booklet,image/jpeg,2024-01-19 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
coll000008,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000008_InternationalFilmFestivalonWomen_March5_161990.jpg?raw=true,,,"International film festival for women, March 5-16, 1990.",U.P. Film Center,1990-03-05,"A brochure booklet of the International Film Festival on Women, a partnership event of UP Film Center and Concerned Artists of the Philippines-Women's Desk, held at the U.P. Film Center Cinema Theater, Magsaysay Avenue, UP Diliman Campus, March 5-16, 1990.","Message - Sen. Santanina T. Rasul, Senate of the Philippines; Mensahe - Jose V. Abueva, Presidente, U.P.; The International Film Festival on Women [event profile]; Film synopses; ",1 file envelope: 10 copies; 12 pages per copy; 5.875 in. x 8.375 in.; brochure booklet,Women in Cinema,"Shelf 1, Row 0, Box 2",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000008,Item is open for research. For Room Use only. ,Image; Brochure Booklet,image/jpeg,2024-01-19 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
coll000009,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000013_AStoryofAdeleH_Sept7_1976.jpg?raw=true,,,"The Story of Adele H, September 7, 1976.",U.P. Film Center,1976-09-07,"A brochure booklet of ""The Story of Adele H."", A Film by Francois Truffaut, starring Isabelle Adjani, A Gala Benefit Premiere for ""Young Filmmakers' Fellowship Fund"" to France & Celebrating ""80 Years of French Cinema"" of the U.P. Film Center, The French Embassy, Writer' Union of the Philippines, Manila Film Society, held at the Rizal Theater, September 7, 1976.","Cover; Message - Imelda Romualdez Marcos; Guy de Lestrange, Ambassadeur de France aux Philippines; Notes on the film/filmmaking by poet Viriginia Moreno, writer-playright Adrian Cristobal, screenwriter Jorge Arago, film director Ishmael Bernal, cinematographer Romeo Vitug, poet librettist Beatriz Romualdez-Francia, UP Film center archivist Annela Mendoza; list of patrons; Rationnale of the Film Center of the University of the Philippines System; Compliments to Banque Nationale De Paris and Services Franco-Belges; Acknowledgement ",1 file envelope: 10 copies; 18 pages per copy; 7.875 in. x 9.5 in.; brochure booklet with lock,French Cinema,"Shelf 1, Row 0, Box 3",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000013,Item is open for research. For Room Use only. ,Image; Brochure Booklet,image/jpeg,2024-01-19 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
coll000010,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2022_UPFIB000014_InternationalWomenFilmFest_March5_8_2007.jpg?raw=true,,,"Women Refigured: Making Choices, Creating Changes, Crossing Boundaries, 17th International Women's Film Festival, March 5-8, 2007.",U.P. Film Center,2007-03-05,"A brochure booklet of Women Refigured: Making Choices, Creating Changes, Crossing Boundaries, 17th International Women's Film Festival, co-presented by U.P. Film Institute and Office for Initiatives in Culture and the Arts, held on UPFI Cine Adarna, UP Diliman, last March 5-8, 2007.","Cover; Message - Grace 'Gigi' Javier Alfonso, Festival Director; Schedule; Opening Program; Diwata Awards for Outstanding Women in Film; Films with Synopses and director's profile; Women's International Short Film and Video Competition; Forum on ""Women Refigured: Making Choices, Creating Changes, Crossing Boundaries""; Panel of Reactors; Festival Committee; Organizer's Profile; Compliments of; ",1 file envelope: 10 copies; 24 pages per copy; 8.00 in. x 8.5 in.; brochure booklet,Women in Cinema,"Shelf 1, Row 0, Box 3",14.65677,121.0672,UPFI Promotional Materials,2022-UPFIB000014,Item is open for research. For Room Use only. ,Image; Brochure Booklet,image/jpeg,2024-01-19 (Created-AdrianM.),eng,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf
